Componente_1,Componente_2,Componente_3,cluster,cluster_nombre
3.9404569,12.254168,20.819351,3,
-17.537651,4.8191257,39.174988,3,
2.94643,18.644714,7.4665723,1,
11.999102,-14.463785,9.8934,4,
-3.4176834,-7.9801183,35.51231,4,
9.547087,-19.920454,-16.954653,2,
21.025661,19.957674,-7.1607285,1,
-13.077582,-13.587859,17.49223,3,
21.755157,6.338711,35.05498,1,
25.142878,17.526878,2.381917,1,
-17.247974,9.765209,-27.253298,4,
-18.118116,22.84139,1.8934294,1,
-14.091878,-14.513645,-24.021637,0,
4.198064,1.620386,34.698593,4,
-11.794902,-10.095785,-13.56268,0,
-14.498221,26.79715,-8.186783,1,
8.1177025,14.605524,-3.2193058,4,
-11.564123,-4.7010274,20.820553,3,
-17.21436,4.275655,39.844788,3,
6.740887,13.077548,13.477784,1,
-6.232556,19.513443,-30.275236,1,
35.47479,13.958155,-4.2127433,1,
7.3281174,-9.900085,25.376556,4,
-1.8095218,24.48118,-14.906497,4,
5.3782387,-14.470085,6.580112,3,
19.324692,3.511808,27.524542,1,
7.3140063,0.4675386,33.387398,4,
10.45983,22.458801,1.2596453,1,
-14.599469,-3.7677896,-18.151173,0,
5.8993416,36.91523,-6.348683,1,
-12.368201,-0.4509588,7.133848,4,
-18.693949,-22.953892,-21.746567,0,
-25.231062,-5.899375,-20.121721,0,
-11.880296,2.1902742,-33.09788,0,
21.823534,2.4834776,33.34729,4,
-25.122787,-11.414967,17.654432,3,
4.939002,-0.24326316,20.835997,4,
-14.978943,-9.513679,12.954906,3,
-12.889711,-7.654921,34.574936,3,
10.861013,21.22899,27.326797,3,
1.9083806,-21.442097,13.015728,2,
2.980944,-7.5004,20.166676,3,
9.65759,24.695967,1.5806878,1,
-31.591286,-8.933407,-9.395021,0,
-2.242134,-18.494507,6.979495,3,
-11.662603,28.366877,24.645857,3,
26.730198,2.8496413,-9.079895,4,
-2.5870104,12.536887,16.474628,1,
-13.992747,27.292883,-8.654298,1,
1.017351,9.295936,-35.289696,0,
6.3827004,19.81592,20.211987,1,
-27.23204,-10.159635,27.205889,3,
-4.602238,0.1416046,-39.59749,0,
-6.37771,-1.7844383,-30.181143,0,
6.7358904,5.573763,-22.667337,0,
-10.569761,-19.088371,34.213745,3,
-23.655535,22.308115,3.5198388,1,
-14.10355,9.426074,-2.4481466,1,
-41.888203,-7.7902546,0.42530087,3,
-5.110895,-10.618307,36.282917,3,
-22.677471,-8.187586,6.7803173,3,
-23.43531,11.993416,-8.117528,1,
-19.209463,-3.7026434,37.62662,3,
32.254948,20.285215,3.7265887,1,
-18.074772,16.028805,27.939758,3,
-5.886113,-35.013912,12.352982,2,
-4.12379,-4.242313,31.917744,3,
38.90214,6.982201,1.2616522,1,
-16.448973,-11.012528,35.0719,3,
13.734099,35.73963,-0.88354915,1,
-25.2217,-11.330065,17.210745,3,
-17.159376,-6.4060116,0.57418025,0,
6.385597,5.041347,1.4189389,4,
13.830047,-23.897219,-19.356392,0,
3.5076306,11.456488,14.748252,1,
-14.434367,-4.5883603,-13.222101,0,
16.56997,20.836914,-9.149593,1,
-17.51179,-4.2121234,-0.15071338,0,
-20.954178,2.6692955,-8.128194,0,
-9.29693,-11.793867,-25.14931,0,
-18.079361,2.981629,-8.563466,0,
-12.290739,-16.672598,-23.271349,0,
1.2591956,-16.297525,10.4217205,3,
-42.156044,-7.946184,0.25430462,3,
-7.9856343,-29.182873,24.821644,3,
1.181045,8.896004,-6.439854,1,
-16.318403,5.1035933,4.717551,3,
28.459633,9.461066,27.126225,1,
11.4167595,7.323462,19.209108,1,
-21.468418,28.050625,-2.9399972,1,
0.56899387,-0.30492884,19.863249,4,
9.48335,28.263935,-6.1386366,1,
39.922123,3.483983,-11.134302,4,
16.494217,-4.379485,-31.217981,0,
-42.697414,4.1404543,11.954065,3,
-19.803328,37.884594,-15.137319,1,
38.522255,-5.214355,4.436191,4,
15.719998,-11.926062,29.488949,4,
-26.829758,-5.9956684,-1.1775254,3,
-7.083979,-5.579173,-20.440533,0,
12.946106,-8.911019,-7.900588,4,
-1.4237418,2.1766014,21.493034,4,
29.339464,-16.677254,4.0196743,2,
1.8866757,37.165573,-0.4962139,1,
-25.92506,29.223337,7.770131,1,
-17.118544,2.6046,41.123272,3,
1.0405385,-11.189462,35.23447,3,
-17.811739,40.279552,-12.715893,1,
-21.213696,-0.76164544,-17.770992,0,
-10.169848,5.9451227,-16.633745,0,
-9.624998,2.6705058,-7.4263434,0,
31.306684,12.0574665,-1.3045388,1,
-6.527896,-10.629442,40.3355,3,
-17.055563,3.7357497,40.373974,3,
-6.984403,1.6278801,-18.934763,0,
4.9922204,13.169706,-16.214485,1,
34.32252,0.33168995,0.9085831,4,
-1.6344316,-4.0374384,-6.2596536,1,
-10.048272,-39.94392,-16.067059,2,
-8.60399,-45.187458,-1.2673837,2,
-12.339651,-37.920197,-6.738849,2,
-6.841798,-43.710793,-4.130291,2,
-7.355994,-38.45854,-4.5131407,2,
-14.548642,-37.780434,-6.679761,2,
-7.541906,-35.77828,-6.673421,4,
4.10215,-48.45984,2.4643662,2,
-7.361688,-38.316925,-4.488118,2,
-7.1611505,-40.152557,-4.7407756,2,
-8.643657,-45.00681,-1.2423439,2,
1.259742,27.953032,14.78912,1,
7.6255527,-6.576728,1.8467573,4,
20.212177,24.770594,-13.158902,1,
-10.102668,-35.822895,-6.956324,2,
12.045821,-43.16744,-2.057147,2,
-19.826708,-15.284359,-2.081943,3,
9.481834,-4.099392,31.739555,4,
-5.4219227,7.900439,12.621381,1,
5.634924,-35.523388,-13.860071,2,
-11.003486,-19.313204,1.938562,2,
1.6479695,-0.42030543,-19.043255,4,
-20.181334,13.872851,-8.570795,1,
-1.4447453,-3.6406198,32.187614,3,
12.888229,11.767715,-21.676048,4,
11.032477,20.928965,26.820757,1,
-2.039859,10.782581,-3.4111128,0,
16.30033,-23.768116,-0.40707272,2,
-9.573608,-0.89205146,-5.6846337,0,
17.644823,22.651468,20.48514,1,
-11.245604,-0.058877345,-6.6136475,0,
9.28239,48.254364,-4.1148424,1,
14.53504,0.12942386,-31.366371,0,
9.394243,4.968962,17.878746,1,
-42.700893,7.9690094,3.9017725,3,
15.180594,0.9343101,-33.003494,0,
-34.67345,-10.707576,5.1333985,3,
-4.1366534,-0.5426488,-9.601866,0,
-3.5635731,0.33451146,-15.264917,4,
1.1622092,-28.37686,-4.418623,2,
-26.45831,13.582395,4.662328,1,
-3.3018785,-10.275532,35.036045,3,
-20.108295,14.586393,-8.204384,1,
-34.68232,-10.702539,5.1278954,3,
-9.011438,8.739719,-14.489076,0,
-6.1303854,-0.112036854,-35.74032,0,
17.380053,27.73258,18.972322,1,
5.7908297,-3.385851,-40.40883,0,
9.27655,-34.738945,-11.908862,2,
-15.408162,-0.14534879,-11.2892885,0,
8.280903,-29.897085,-7.921209,2,
24.370535,24.86094,-6.360285,1,
24.529123,4.0255127,-29.943497,1,
0.85333705,11.158017,-35.96907,0,
-12.137664,-1.3909786,6.3441405,3,
-8.521439,29.363422,-19.588957,1,
-9.111033,1.4751012,31.088047,3,
10.601445,-2.0375755,33.639385,4,
-11.216684,2.7209017,-38.057064,0,
38.49266,-1.5755867,18.29647,1,
-31.200466,6.3098044,-1.6650466,3,
-14.960811,-23.801605,-16.805918,0,
-14.131053,9.336469,-2.509031,1,
-25.583061,-25.98216,-3.4106452,0,
